Pulse_Index,TOA_us,Freq_MHz,PW_ns,Amplitude
0,10.0,1138.89,100.0,1.0
1,30.0,1138.89,100.0,1.0
2,60.0,1138.89,100.0,1.0
3,70.0,1138.89,100.0,1.0
4,90.0,1138.89,100.0,1.0
5,120.0,1138.89,100.0,1.0
6,130.0,1138.89,100.0,1.0
7,150.0,1138.89,100.0,1.0
8,180.0,1138.89,100.0,1.0
9,190.0,1138.89,100.0,1.0
10,210.0,1024.44,100.0,1.0
11,240.0,1024.44,100.0,1.0
12,250.0,1024.44,100.0,1.0
13,270.0,1024.44,100.0,1.0
14,300.0,1024.44,100.0,1.0
15,310.0,1024.44,100.0,1.0
16,330.0,1024.44,100.0,1.0
17,360.0,1024.44,100.0,1.0
18,370.0,1024.44,100.0,1.0
19,390.0,1024.44,100.0,1.0
20,420.0,1012.47,100.0,1.0
21,430.0,1012.47,100.0,1.0
22,450.0,1012.47,100.0,1.0
23,480.0,1012.47,100.0,1.0
24,490.0,1012.47,100.0,1.0
25,510.0,1012.47,100.0,1.0
26,540.0,1012.47,100.0,1.0
27,550.0,1012.47,100.0,1.0
28,570.0,1012.47,100.0,1.0
29,600.0,1012.47,100.0,1.0
30,610.0,1093.27,100.0,1.0
31,630.0,1093.27,100.0,1.0
32,660.0,1093.27,100.0,1.0
33,670.0,1093.27,100.0,1.0
34,690.0,1093.27,100.0,1.0
35,720.0,1093.27,100.0,1.0
36,730.0,1093.27,100.0,1.0
37,750.0,1093.27,100.0,1.0
38,780.0,1093.27,100.0,1.0
39,790.0,1093.27,100.0,1.0
40,810.0,1127.51,100.0,1.0
41,840.0,1127.51,100.0,1.0
42,850.0,1127.51,100.0,1.0
43,870.0,1127.51,100.0,1.0
44,900.0,1127.51,100.0,1.0
45,910.0,1127.51,100.0,1.0
46,930.0,1127.51,100.0,1.0
47,960.0,1127.51,100.0,1.0
48,970.0,1127.51,100.0,1.0
49,990.0,1127.51,100.0,1.0
50,1020.0,1018.46,100.0,1.0
51,1030.0,1018.46,100.0,1.0
52,1050.0,1018.46,100.0,1.0
53,1080.0,1018.46,100.0,1.0
54,1090.0,1018.46,100.0,1.0
55,1110.0,1018.46,100.0,1.0
56,1140.0,1018.46,100.0,1.0
57,1150.0,1018.46,100.0,1.0
58,1170.0,1018.46,100.0,1.0
59,1200.0,1018.46,100.0,1.0
60,1210.0,1110.77,100.0,1.0
61,1230.0,1110.77,100.0,1.0
62,1260.0,1110.77,100.0,1.0
63,1270.0,1110.77,100.0,1.0
64,1290.0,1110.77,100.0,1.0
65,1320.0,1110.77,100.0,1.0
66,1330.0,1110.77,100.0,1.0
67,1350.0,1110.77,100.0,1.0
68,1380.0,1110.77,100.0,1.0
69,1390.0,1110.77,100.0,1.0
70,1410.0,1074.29,100.0,1.0
71,1440.0,1074.29,100.0,1.0
72,1450.0,1074.29,100.0,1.0
73,1470.0,1074.29,100.0,1.0
74,1500.0,1074.29,100.0,1.0
75,1510.0,1074.29,100.0,1.0
76,1530.0,1074.29,100.0,1.0
77,1560.0,1074.29,100.0,1.0
78,1570.0,1074.29,100.0,1.0
79,1590.0,1074.29,100.0,1.0
80,1620.0,1171.03,100.0,1.0
81,1630.0,1171.03,100.0,1.0
82,1650.0,1171.03,100.0,1.0
83,1680.0,1171.03,100.0,1.0
84,1690.0,1171.03,100.0,1.0
85,1710.0,1171.03,100.0,1.0
86,1740.0,1171.03,100.0,1.0
87,1750.0,1171.03,100.0,1.0
88,1770.0,1171.03,100.0,1.0
89,1800.0,1171.03,100.0,1.0
90,1810.0,1197.99,100.0,1.0
91,1830.0,1197.99,100.0,1.0
92,1860.0,1197.99,100.0,1.0
93,1870.0,1197.99,100.0,1.0
94,1890.0,1197.99,100.0,1.0
95,1920.0,1197.99,100.0,1.0
96,1930.0,1197.99,100.0,1.0
97,1950.0,1197.99,100.0,1.0
98,1980.0,1197.99,100.0,1.0
99,1990.0,1197.99,100.0,1.0
