Pulse_Index,TOA_us,Freq_MHz,PW_ns,Amplitude
0,10.0,1000.0,93.08,1.0
1,30.0,1000.0,116.62,1.0
2,40.0,1000.0,117.64,1.0
3,60.0,1000.0,101.94,1.0
4,70.0,1000.0,119.69,1.0
5,90.0,1000.0,116.66,1.0
6,100.0,1000.0,82.84,1.0
7,120.0,1000.0,119.78,1.0
8,130.0,1000.0,106.53,1.0
9,150.0,1000.0,80.72,1.0
10,160.0,1000.0,82.63,1.0
11,180.0,1000.0,96.14,1.0
12,190.0,1000.0,96.46,1.0
13,210.0,1000.0,87.33,1.0
14,220.0,1000.0,92.49,1.0
15,240.0,1000.0,118.94,1.0
16,250.0,1000.0,110.53,1.0
17,270.0,1000.0,81.48,1.0
18,280.0,1000.0,83.45,1.0
19,300.0,1000.0,103.85,1.0
20,310.0,1000.0,109.93,1.0
21,330.0,1000.0,103.61,1.0
22,340.0,1000.0,116.9,1.0
23,360.0,1000.0,90.22,1.0
24,370.0,1000.0,95.06,1.0
25,390.0,1000.0,111.86,1.0
26,400.0,1000.0,95.69,1.0
27,420.0,1000.0,117.6,1.0
28,430.0,1000.0,112.56,1.0
29,450.0,1000.0,96.64,1.0
30,460.0,1000.0,97.71,1.0
31,480.0,1000.0,98.4,1.0
32,490.0,1000.0,104.04,1.0
33,510.0,1000.0,92.69,1.0
34,520.0,1000.0,84.95,1.0
35,540.0,1000.0,117.47,1.0
36,550.0,1000.0,92.45,1.0
37,570.0,1000.0,108.16,1.0
38,580.0,1000.0,102.02,1.0
39,600.0,1000.0,113.12,1.0
40,610.0,1000.0,84.82,1.0
41,630.0,1000.0,83.17,1.0
42,640.0,1000.0,110.53,1.0
43,660.0,1000.0,92.47,1.0
44,670.0,1000.0,111.29,1.0
45,690.0,1000.0,116.63,1.0
46,700.0,1000.0,117.97,1.0
47,720.0,1000.0,107.61,1.0
48,730.0,1000.0,99.47,1.0
49,750.0,1000.0,86.62,1.0
50,760.0,1000.0,81.29,1.0
51,780.0,1000.0,98.31,1.0
52,790.0,1000.0,94.88,1.0
53,810.0,1000.0,116.91,1.0
54,820.0,1000.0,92.82,1.0
55,840.0,1000.0,85.86,1.0
56,850.0,1000.0,87.92,1.0
57,870.0,1000.0,87.37,1.0
58,880.0,1000.0,80.07,1.0
59,900.0,1000.0,104.37,1.0
60,910.0,1000.0,118.99,1.0
61,930.0,1000.0,83.67,1.0
62,940.0,1000.0,82.37,1.0
63,960.0,1000.0,91.13,1.0
64,970.0,1000.0,102.87,1.0
65,990.0,1000.0,116.86,1.0
66,1000.0,1000.0,83.73,1.0
67,1020.0,1000.0,93.98,1.0
68,1030.0,1000.0,83.14,1.0
69,1050.0,1000.0,84.72,1.0
70,1060.0,1000.0,116.11,1.0
71,1080.0,1000.0,114.86,1.0
72,1090.0,1000.0,89.61,1.0
73,1110.0,1000.0,98.02,1.0
74,1120.0,1000.0,80.54,1.0
75,1140.0,1000.0,81.72,1.0
76,1150.0,1000.0,115.08,1.0
77,1170.0,1000.0,89.47,1.0
78,1180.0,1000.0,107.79,1.0
79,1200.0,1000.0,114.41,1.0
80,1210.0,1000.0,92.92,1.0
81,1230.0,1000.0,92.71,1.0
82,1240.0,1000.0,114.23,1.0
83,1260.0,1000.0,84.69,1.0
84,1270.0,1000.0,109.76,1.0
85,1290.0,1000.0,98.51,1.0
86,1300.0,1000.0,81.46,1.0
87,1320.0,1000.0,118.46,1.0
88,1330.0,1000.0,82.94,1.0
89,1350.0,1000.0,105.35,1.0
90,1360.0,1000.0,119.41,1.0
91,1380.0,1000.0,117.75,1.0
92,1390.0,1000.0,118.42,1.0
93,1410.0,1000.0,115.06,1.0
94,1420.0,1000.0,116.64,1.0
95,1440.0,1000.0,105.92,1.0
96,1450.0,1000.0,86.26,1.0
97,1470.0,1000.0,91.24,1.0
98,1480.0,1000.0,110.73,1.0
99,1500.0,1000.0,87.13,1.0
